item_name,item_category,views,avg_price
Google Eco Tee Black,Men's T-Shirts/,2,
Android Garden Tee Orange,Men's T-Shirts/,1,
Google Beekeepers Tee Mint,Men's T-Shirts/,1,
Google Campus Bike Eco Tee Navy,Men's T-Shirts/,1,
Google Dino Game Tee,Men's T-Shirts/,1,
Google F/C Long Sleeve Tee Ash,Men's T-Shirts/,1,
Google F/C Long Sleeve Tee Charcoal,Men's T-Shirts/,1,
Google Mountain View Tee Blue,Men's T-Shirts/,1,
Google Tudes Recycled Tee,Men's T-Shirts/,1,
YouTube Icon Tee Charcoal,Men's T-Shirts/,1,
YouTube Icon Tee Grey,Men's T-Shirts/,1,
